Learner,TP,FN,TN,FP,Recall,F1-score,G-measure,AUC
nb,284,51,806,276,0.85,0.63,0.79,0.84
lr,212,123,1030,52,0.63,0.71,0.76,0.85
svm,239,96,1009,73,0.71,0.74,0.81,0.83
mlp,182,153,1009,73,0.54,0.62,0.69,0.83
rf,183,152,1027,55,0.55,0.64,0.69,0.85
