0	Issue key	Component/s	Component/s	Component/s	Component/s
0	HDFS-2431	webhdfs			
0	HDFS-2475	webhdfs			
0	HDFS-535	hdfs-client	test		
0	HDFS-2515	namenode			
0	HDFS-2997	namenode			
0	HDFS-2848				
0	HDFS-75				
0	HDFS-1287				
0	HDFS-2806	ha			
0	HDFS-2354	ha	namenode		
0	HDFS-2756	ha			
0	HDFS-2787				
0	HDFS-626	namenode			
0	HDFS-47				
0	HDFS-67				
0	HDFS-103				
0	HDFS-82				
0	HDFS-92				
0	HDFS-57				
1	HDFS-64				
1	HDFS-59				
0	HDFS-12				
0	HDFS-22				
0	HDFS-20				
1	HDFS-3				
1	HDFS-1372				
0	HDFS-1374	test			
0	HDFS-2370	tools			
0	HDFS-2278				
0	HDFS-1740				
0	HDFS-2457	namenode			
0	HDFS-1896				
0	HDFS-2013	namenode	test		
0	HDFS-1604	security			
0	HDFS-2150	namenode			
1	HDFS-339				
0	HDFS-2151				
0	HDFS-2125				
0	HDFS-2113				
0	HDFS-2103				
0	HDFS-1285	test			
0	HDFS-1050	contrib/hdfsproxy	test		
0	HDFS-1388	documentation			
0	HDFS-121	namenode			
0	HDFS-387				
0	HDFS-937	datanode			
0	HDFS-1549				
0	HDFS-37				
0	HDFS-1155				
0	HDFS-1220	namenode			
0	HDFS-1221	namenode			
0	HDFS-1142	namenode			
0	HDFS-340				
0	HDFS-1025				
0	HDFS-87				
0	HDFS-38				
0	HDFS-847	fuse-dfs			
0	HDFS-8537				
0	HDFS-8536	tools			
0	HDFS-13047	ozone			
0	HDFS-12827	documentation			
0	HDFS-12410	datanode	fs		
0	HDFS-11921	ozone			
1	HDFS-12277	benchmarks	tools		
0	HDFS-5465				
0	HDFS-11763	ozone			
0	HDFS-11521				
0	HDFS-7974				
0	HDFS-11079	test			
0	HDFS-9883				
0	HDFS-10863	namenode			
0	HDFS-9912	documentation			
0	HDFS-10257	libhdfs			
0	HDFS-6251				
0	HDFS-3557				
0	HDFS-4936	namenode			
0	HDFS-8761	datanode			
0	HDFS-8159				
0	HDFS-9138	test			
0	HDFS-7633	datanode			
0	HDFS-9136	test			
0	HDFS-7465				
0	HDFS-852	balancer & mover			
0	HDFS-5546				
0	HDFS-5687	hdfs-client			
0	HDFS-8500	federation			
0	HDFS-8452				
0	HDFS-3233				
1	HDFS-4958				
0	HDFS-4789				
0	HDFS-5740	hdfs-client			
0	HDFS-1949	namenode			
0	HDFS-7538				
0	HDFS-6074	namenode			
0	HDFS-2017	namenode			
0	HDFS-4108	security	webhdfs		
0	HDFS-5345	datanode			
0	HDFS-6725	datanode			
0	HDFS-6676	security			
0	HDFS-6368				
0	HDFS-6479	namenode	security		
0	HDFS-6341	namenode			
0	HDFS-6176				
0	HDFS-2734	namenode			
0	HDFS-2571	namenode			
0	HDFS-6001	ha			
0	HDFS-803	build			
0	HDFS-372				
1	HDFS-285				
0	HDFS-174				
0	HDFS-184				
0	HDFS-4117				
0	HDFS-3472	ha			
0	HDFS-1724	datanode	hdfs-client		
0	HDFS-1587	datanode			
0	HDFS-298				
0	HDFS-72				
0	HDFS-111				
0	HDFS-129				
0	HDFS-300				
0	HDFS-2176				
1	HDFS-128				
0	HDFS-106				
1	HDFS-13067				
0	HDFS-12944				
0	HDFS-5896				
0	HDFS-12493	namenode			
0	HDFS-12160				
0	HDFS-11871	balancer & mover			
0	HDFS-9673				
0	HDFS-6628	documentation			
0	HDFS-5894	security			
0	HDFS-2608	namenode			
0	HDFS-5720	datanode			
0	HDFS-533	build			
0	HDFS-1752	namenode			
